Non-Brand,Paid Search,Tablet,Denmark,Google,918,1802.79,3025.3
Non-Brand,Paid Search,Tablet,Hindi,Google,5,0.78,5.8
Non-Brand,Paid Search,Tablet,Malaysia,Google,1330,1543.89,1214.3
Non-Brand,Paid Search,Tablet,Portugal,Google,943,484.04,851.9
Non-Brand,Paid Search,Tablet,South Africa,Google,1220,1819.69,3206.5
Brand,Paid Search,Desktop,Canada,Google,173725,72485.84,195333.1
Brand,Paid Search,Desktop,Denmark,Bing,1123,61.58,837.6
Brand,Paid Search,Desktop,Germany,Bing,9699,1916.6,11533.9
Brand,Paid Search,Desktop,Greece,Google,2557,612.01,3683.3
Brand,Paid Search,Desktop,India,Bing,2804,175.89,2232.6
Brand,Paid Search,Desktop,Italy,Google,23833,6897.76,25205.0
Brand,Paid Search,Desktop,Japan,Google,4018,5434.88,8906.9
Brand,Paid Search,Desktop,Korea,Google,5176,724.02,5424.9
Brand,Paid Search,Desktop,Russia,Google,14705,4642.41,15295.7
Brand,Paid Search,Desktop,South Africa,Bing,6018,8089.18,8933.2
Brand,Paid Search,Desktop,Sweden,Bing,586,32.61,539.8
Brand,Paid Search,Desktop,Vietnam,Bing,146,7.98,164.5
Brand,Paid Search,Mobile,Brazil,Google,7155,546.59,6362.8
Brand,Paid Search,Mobile,China,Google,3644,735.16,4149.3
Brand,Paid Search,Mobile,Singapore,Google,7128,1663.9,7232.4
Brand,Paid Search,Mobile,United Kingdom,Google,66393,11539.49,51934.2
Brand,Paid Search,Mobile,United States,Bing,6011,2369.6,9015.4
Brand,Paid Search,Tablet,Brazil,Google,877,115.92,726.3
Brand,Paid Search,Tablet,India,Bing,6,0.16,5.4
Brand,Paid Search,Tablet,Indonesia,Google,642,226.39,648.2
Brand,Paid Search,Tablet,Italy,Google,1202,314.23,850.0
Brand,Paid Search,Tablet,Japan,Bing,516,1343.46,1063.0
Brand,Paid Search,Tablet,Korea,Bing,187,483.8,560.0
Brand,Paid Search,Tablet,Philippines,Bing,2,0.05,1.7
Brand,Paid Search,Tablet,Switzerland,Google,97,4.31,69.8
Brand,Paid Search,Tablet,United Kingdom,Google,36237,16463.97,32899.3
Brand,Paid Search,Tablet,United States,Bing,3535,2448.63,4378.3
Brand,Paid Search,Unknown,United States,Bing,0,0.0,0.0
Non-Brand,Paid Search,Desktop,Finland,Google,1968,3123.81,5070.8
Non-Brand,Paid Search,Desktop,Japan,Bing,45,5.04,41.3
Non-Brand,Paid Search,Desktop,Korea,Bing,57,22.41,78.1
Non-Brand,Paid Search,Desktop,Portugal,Google,49081,19769.83,41177.2
Non-Brand,Paid Search,Desktop,Switzerland,Google,150,363.17,2043.2
Non-Brand,Paid Search,Mobile,Australia,Google,7217,20990.23,6053.5
Non-Brand,Paid Search,Mobile,Brazil,Bing,13137,883.33,7723.4
Non-Brand,Paid Search,Mobile,Indonesia,Bing,1384,481.03,1094.1
Non-Brand,Paid Search,Mobile,Korea,Google,7718,4285.25,7221.9
Non-Brand,Paid Search,Mobile,Philippines,Google,18182,14286.75,16424.8
Non-Brand,Paid Search,Mobile,Turkey,Google,11782,5076.87,13741.3
Non-Brand,Paid Search,Mobile,United Kingdom,Bing,2282,2787.36,2787.6
Non-Brand,Paid Search,Mobile,Vietnam,Google,5372,2203.08,6841.7
Non-Brand,Paid Search,Tablet,Finland,Google,127,220.54,336.2
Non-Brand,Paid Search,Tablet,Italy,Bing,15,2.47,31.2
Non-Brand,Paid Search,Tablet,Russia,Bing,7,1.12,9.5
Non-Brand,Paid Search,Tablet,Thailand,Google,408,509.92,2067.8
Non-Brand,Paid Search,Tablet,Turkey,Google,1356,991.12,1821.7
Non-Brand,Paid Search,Tablet,United States,Google,19890,72095.91,26930.4
Brand,Paid Search,Desktop,China,Google,22167,5070.16,23037.2
Brand,Paid Search,Desktop,Denmark,Google,38729,9131.39,36887.9
Brand,Paid Search,Desktop,Korea,Bing,6304,13683.02,21937.1
Brand,Paid Search,Desktop,Russia,Bing,10547,32962.47,19062.1
Brand,Paid Search,Desktop,Spain,Google,265784,43370.95,180804.2
Brand,Paid Search,Mobile,Denmark,Bing,34,1.75,32.1
Brand,Paid Search,Mobile,Israel,Google,124,28.25,135.9
Brand,Paid Search,Mobile,Korea,Google,2684,799.34,4484.0
Brand,Paid Search,Mobile,Rest of World,Google,56784,10400.55,50925.0
Brand,Paid Search,Mobile,Spain,Bing,379,6.63,321.9
Brand,Paid Search,Mobile,Thailand,Google,2232,262.1,1568.2
Brand,Paid Search,Tablet,Australia,Google,20870,7802.98,19896.9
Brand,Paid Search,Tablet,Denmark,Bing,14,0.72,13.4
Brand,Paid Search,Tablet,Indonesia,Bing,17,83.52,207.2
Brand,Paid Search,Tablet,Netherlands,Google,3582,1755.19,4020.3
Brand,Paid Search,Tablet,Philippines,Google,681,252.4,595.3
Brand,Paid Search,Tablet,Russia,Bing,288,1526.92,369.0
Brand,Paid Search,Tablet,Turkey,Google,6576,731.75,5960.6
Brand,Paid Search,Tablet,Vietnam,Google,155,23.89,149.8
Non-Brand,Paid Search,Desktop,Australia,Google,44495,164839.5,162470.6
Non-Brand,Paid Search,Desktop,Denmark,Bing,222,363.78,214.8
Non-Brand,Paid Search,Desktop,France,Google,40782,69729.43,34857.9
Non-Brand,Paid Search,Desktop,Israel,Google,793,987.27,903.1
Non-Brand,Paid Search,Desktop,Rest of World,Google,482593,463872.58,410435.8
Non-Brand,Paid Search,Desktop,Spain,Bing,22257,2222.59,15303.6
Non-Brand,Paid Search,Desktop,Thailand,Google,7373,9650.36,8250.6
Non-Brand,Paid Search,Desktop,Turkey,Google,20083,14822.57,17771.2
Non-Brand,Paid Search,Mobile,Denmark,Google,1084,969.03,1081.1
Non-Brand,Paid Search,Mobile,France,Bing,444,165.5,481.1
Non-Brand,Paid Search,Mobile,India,Bing,2829,810.36,2729.8
Non-Brand,Paid Search,Mobile,Indonesia,Google,16301,14945.91,15749.4
Non-Brand,Paid Search,Mobile,Japan,Bing,14,0.64,13.6
Non-Brand,Paid Search,Mobile,Korea,Bing,4,0.12,3.1
Non-Brand,Paid Search,Mobile,Malaysia,Bing,242,98.89,272.9
Non-Brand,Paid Search,Mobile,Russia,Google,2274,842.93,1893.9
Non-Brand,Paid Search,Mobile,Thailand,Bing,387,103.06,557.0
Non-Brand,Paid Search,Tablet,France,Bing,194,90.09,131.0
Non-Brand,Paid Search,Tablet,Israel,Google,70,107.73,131.1
Non-Brand,Paid Search,Tablet,Rest of World,Google,20881,19123.08,14656.0
Non-Brand,Paid Search,Tablet,Russia,Google,1821,1377.09,1911.6
Non-Brand,Paid Search,Tablet,Spain,Bing,209,21.02,218.1
Non-Brand,Paid Search,Tablet,Turkey,Bing,1,0.05,1.2
Non-Brand,Paid Search,Tablet,Vietnam,Bing,3,2.01,4.2
Brand,Paid Search,Desktop,Arabic,Google,13341,1739.8,11953.9
Brand,Paid Search,Desktop,Finland,Bing,252,15.17,241.2
Brand,Paid Search,Desktop,France,Bing,14041,2099.82,13215.8
Brand,Paid Search,Desktop,India,Google,64131,11080.76,57000.3
Brand,Paid Search,Desktop,Israel,Google,745,156.61,845.8
Brand,Paid Search,Desktop,Netherlands,Bing,4448,251.52,2375.0
Brand,Paid Search,Desktop,Portugal,Bing,0,0.0,0.0
Brand,Paid Search,Desktop,Turkey,Google,45179,10374.99,45871.7
Brand,Paid Search,Desktop,United States,Google,1343631,756316.22,1131637.3
Brand,Paid Search,Mobile,Australia,Google,28800,9241.26,33356.1
Brand,Paid Search,Mobile,Brazil,Bing,147,2.21,122.5
Brand,Paid Search,Mobile,Indonesia,Bing,61,26.35,104.4
Brand,Paid Search,Mobile,Italy,Google,5463,1080.5,5284.6
Brand,Paid Search,Mobile,Korea,Bing,311,815.48,1181.5
Brand,Paid Search,Mobile,Philippines,Bing,32,5.21,36.0
Brand,Paid Search,Mobile,Russia,Google,4184,1343.91,3489.8
