Brand,Paid Search,Desktop,Portugal,Bing,0,33.1
Brand,Paid Search,Desktop,Turkey,Google,45179,36377.2
Brand,Paid Search,Desktop,United States,Google,1343631,1238698.1
Brand,Paid Search,Mobile,Australia,Google,28800,22747.1
Brand,Paid Search,Mobile,Brazil,Bing,147,2732.0
Brand,Paid Search,Mobile,Indonesia,Bing,61,321.2
Brand,Paid Search,Mobile,Italy,Google,5463,4693.8
Brand,Paid Search,Mobile,Korea,Bing,311,258.7
Brand,Paid Search,Mobile,Philippines,Bing,32,197.0
Brand,Paid Search,Mobile,Russia,Google,4184,4104.0
Brand,Paid Search,Mobile,Turkey,Google,20385,15090.7
Brand,Paid Search,Mobile,United Kingdom,Bing,1161,14132.6
Brand,Paid Search,Mobile,Vietnam,Bing,25,106.5
Brand,Paid Search,Tablet,Arabic,Google,569,501.6
Brand,Paid Search,Tablet,Finland,Bing,3,4.9
Brand,Paid Search,Tablet,Greece,Google,113,217.1
Brand,Paid Search,Tablet,Israel,Google,5,147.9
Brand,Paid Search,Tablet,Italy,Bing,16,24.0
Brand,Paid Search,Tablet,Spain,Google,8137,21465.4
Brand,Paid Search,Tablet,Turkey,Bing,296,237.5
Non-Brand,Paid Search,Desktop,Greece,Google,1695,1834.5
Non-Brand,Paid Search,Desktop,India,Bing,7338,7338.0
Non-Brand,Paid Search,Desktop,Indonesia,Google,25816,17858.2
Non-Brand,Paid Search,Desktop,Vietnam,Google,11105,7805.2
Non-Brand,Paid Search,Mobile,Arabic,Google,6410,5346.9
Non-Brand,Paid Search,Mobile,Finland,Bing,4,8.9
Non-Brand,Paid Search,Mobile,Greece,Google,386,590.6
Non-Brand,Paid Search,Mobile,Israel,Google,409,545.6
Non-Brand,Paid Search,Mobile,Italy,Bing,93,86.6
Non-Brand,Paid Search,Mobile,Spain,Google,103955,67467.4
Non-Brand,Paid Search,Mobile,Turkey,Bing,30,39.9
Non-Brand,Paid Search,Mobile,United States,Google,100160,145720.7
Non-Brand,Paid Search,Tablet,Brazil,Google,2120,1611.4
Non-Brand,Paid Search,Tablet,Indonesia,Google,1395,1093.8
Non-Brand,Paid Search,Tablet,Italy,Google,450,554.8
Non-Brand,Paid Search,Tablet,Korea,Google,317,302.9
Non-Brand,Paid Search,Tablet,Philippines,Google,2377,1402.2
Non-Brand,Paid Search,Tablet,Switzerland,Google,10,62.0
Non-Brand,Paid Search,Tablet,United Kingdom,Google,14755,22969.2
Non-Brand,Paid Search,Tablet,Vietnam,Google,741,551.9
Brand,Paid Search,Desktop,China,Google,22167,15708.1
Brand,Paid Search,Desktop,Denmark,Google,38729,32902.2
Brand,Paid Search,Desktop,Korea,Bing,6304,3799.5
Brand,Paid Search,Desktop,Russia,Bing,10547,7668.8
Brand,Paid Search,Desktop,Spain,Google,265784,250314.3
Brand,Paid Search,Mobile,Denmark,Bing,34,30.6
Brand,Paid Search,Mobile,Israel,Google,124,1114.9
Brand,Paid Search,Mobile,Korea,Google,2684,3690.8
Brand,Paid Search,Mobile,Rest of World,Google,56784,148416.8
Brand,Paid Search,Mobile,Spain,Bing,379,6655.0
Brand,Paid Search,Mobile,Thailand,Google,2232,2737.7
Brand,Paid Search,Tablet,Australia,Google,20870,16864.8
Brand,Paid Search,Tablet,Denmark,Bing,14,8.8
Brand,Paid Search,Tablet,Indonesia,Bing,17,162.3
Brand,Paid Search,Tablet,Netherlands,Google,3582,2601.8
Brand,Paid Search,Tablet,Philippines,Google,681,1243.7
Brand,Paid Search,Tablet,Russia,Bing,288,202.8
Brand,Paid Search,Tablet,Turkey,Google,6576,6054.0
Brand,Paid Search,Tablet,Vietnam,Google,155,155.0
Non-Brand,Paid Search,Desktop,Australia,Google,44495,81773.6
Non-Brand,Paid Search,Desktop,Denmark,Bing,222,312.1
Non-Brand,Paid Search,Desktop,France,Google,40782,50195.2
Non-Brand,Paid Search,Desktop,Israel,Google,793,793.0
Non-Brand,Paid Search,Desktop,Rest of World,Google,482593,395112.3
Non-Brand,Paid Search,Desktop,Spain,Bing,22257,77407.2
Non-Brand,Paid Search,Desktop,Thailand,Google,7373,5785.9
Non-Brand,Paid Search,Desktop,Turkey,Google,20083,28653.7
Non-Brand,Paid Search,Mobile,Denmark,Google,1084,1856.7
Non-Brand,Paid Search,Mobile,France,Bing,444,403.8
Non-Brand,Paid Search,Mobile,India,Bing,2829,1740.3
Non-Brand,Paid Search,Mobile,Indonesia,Google,16301,14758.6
Non-Brand,Paid Search,Mobile,Japan,Bing,14,13.4
Non-Brand,Paid Search,Mobile,Korea,Bing,4,67.4
Non-Brand,Paid Search,Mobile,Malaysia,Bing,242,110.9
Non-Brand,Paid Search,Mobile,Russia,Google,2274,2847.0
Non-Brand,Paid Search,Mobile,Thailand,Bing,387,314.3
Non-Brand,Paid Search,Tablet,France,Bing,194,262.0
Non-Brand,Paid Search,Tablet,Israel,Google,70,65.8
Non-Brand,Paid Search,Tablet,Rest of World,Google,20881,54134.2
Non-Brand,Paid Search,Tablet,Russia,Google,1821,1067.9
Non-Brand,Paid Search,Tablet,Spain,Bing,209,2859.9
Non-Brand,Paid Search,Tablet,Turkey,Bing,1,33.6
Non-Brand,Paid Search,Tablet,Vietnam,Bing,3,46.7
Brand,Paid Search,Desktop,Brazil,Google,51280,46765.7
Brand,Paid Search,Desktop,Hindi,Google,0,1336.3
Brand,Paid Search,Desktop,Japan,Bing,28368,22722.2
Brand,Paid Search,Desktop,Malaysia,Google,24602,23109.7
Brand,Paid Search,Desktop,Netherlands,Google,77150,57085.2
Brand,Paid Search,Desktop,Philippines,Google,18128,22368.4
Brand,Paid Search,Desktop,Portugal,Google,37336,43208.5
Brand,Paid Search,Desktop,United Kingdom,Google,652535,260134.6
Brand,Paid Search,Desktop,United States,Bing,294302,688765.1
Brand,Paid Search,Desktop,Vietnam,Google,5346,5921.9
Brand,Paid Search,Mobile,Australia,Bing,144,210.9
Brand,Paid Search,Mobile,Canada,Bing,315,350.5
Brand,Paid Search,Mobile,France,Google,16082,14384.0
Brand,Paid Search,Mobile,Italy,Bing,137,115.4
Brand,Paid Search,Mobile,Malaysia,Google,7123,7880.1
Brand,Paid Search,Mobile,Switzerland,Google,1129,1575.8
Brand,Paid Search,Mobile,Turkey,Bing,213,164.7
Brand,Paid Search,Tablet,Asia and Pacific,Bing,2,20.8
Brand,Paid Search,Tablet,Canada,Google,9298,7198.8
Brand,Paid Search,Tablet,Germany,Bing,54,47.4
Brand,Paid Search,Tablet,Norway,Bing,10,8.4
Non-Brand,Paid Search,Desktop,Asia and Pacific,Bing,3102,1294.9
Non-Brand,Paid Search,Desktop,Brazil,Bing,14873,8979.9
Non-Brand,Paid Search,Desktop,Canada,Google,34343,90095.8
Non-Brand,Paid Search,Desktop,India,Google,79338,65518.2
Non-Brand,Paid Search,Desktop,Italy,Google,5406,10246.5
Non-Brand,Paid Search,Desktop,Netherlands,Bing,1020,4145.4
Non-Brand,Paid Search,Desktop,Philippines,Bing,2363,1677.5
Non-Brand,Paid Search,Desktop,Portugal,Bing,11,23.8
Non-Brand,Paid Search,Desktop,South Africa,Google,14652,20776.8
Non-Brand,Paid Search,Desktop,Sweden,Google,9771,10192.1
Non-Brand,Paid Search,Desktop,Vietnam,Bing,397,313.9
Non-Brand,Paid Search,Mobile,Canada,Google,9705,9332.7
Non-Brand,Paid Search,Mobile,Finland,Google,277,803.7
Non-Brand,Paid Search,Mobile,Germany,Bing,152,102.3
Non-Brand,Paid Search,Mobile,Norway,Bing,0,0.0
Non-Brand,Paid Search,Mobile,Singapore,Google,2766,3742.3
Non-Brand,Paid Search,Mobile,South Africa,Google,8884,6858.8
Non-Brand,Paid Search,Mobile,Sweden,Google,1618,1790.8
Non-Brand,Paid Search,Tablet,Arabic,Google,441,397.2
Non-Brand,Paid Search,Tablet,Brazil,Bing,181,2702.6
Non-Brand,Paid Search,Tablet,Canada,Bing,481,478.4
Non-Brand,Paid Search,Tablet,India,Google,3999,25729.4
Non-Brand,Paid Search,Tablet,Japan,Google,239,247.6
Non-Brand,Paid Search,Tablet,Netherlands,Bing,12,12.8
Non-Brand,Paid Search,Tablet,Philippines,Bing,78,84.7
Non-Brand,Paid Search,Tablet,Portugal,Bing,0,1.8
Non-Brand,Paid Search,Tablet,South Africa,Bing,8,55.4
Non-Brand,Paid Search,Tablet,United Kingdom,Bing,1602,2958.3
Brand,Paid Search,Desktop,Canada,Google,173725,145848.6
Brand,Paid Search,Desktop,Denmark,Bing,1123,763.7
Brand,Paid Search,Desktop,Germany,Bing,9699,8752.4
Brand,Paid Search,Desktop,Greece,Google,2557,3401.5
