Brand,Paid Search,Mobile,Korea,Bing,99,138.57,123.5
Brand,Paid Search,Mobile,Philippines,Bing,5,0.21,4.7
Brand,Paid Search,Mobile,Russia,Google,415,66.49,463.9
Brand,Paid Search,Mobile,Turkey,Google,2225,241.85,1558.3
Brand,Paid Search,Mobile,United Kingdom,Bing,41,6.13,41.0
Brand,Paid Search,Mobile,Vietnam,Bing,2,0.14,1.8
Brand,Paid Search,Tablet,Arabic,Google,49,4.2,32.3
Brand,Paid Search,Tablet,Greece,Google,11,1.13,11.8
Brand,Paid Search,Tablet,Israel,Google,0,0.0,0.0
Brand,Paid Search,Tablet,Italy,Bing,5,0.28,4.8
Brand,Paid Search,Tablet,Spain,Google,887,243.56,1106.0
Brand,Paid Search,Tablet,Turkey,Bing,74,26.3,69.7
Non-Brand,Paid Search,Desktop,Greece,Google,36,21.41,52.9
Non-Brand,Paid Search,Desktop,India,Bing,235,25.2,163.6
Non-Brand,Paid Search,Desktop,Indonesia,Google,632,710.88,563.6
Non-Brand,Paid Search,Desktop,Vietnam,Google,545,331.94,563.5
Non-Brand,Paid Search,Mobile,Arabic,Google,140,86.9,117.6
Non-Brand,Paid Search,Mobile,Greece,Google,1,0.48,2.5
Non-Brand,Paid Search,Mobile,Israel,Google,2,0.61,2.9
Non-Brand,Paid Search,Mobile,Italy,Bing,2,0.32,7.0
Non-Brand,Paid Search,Mobile,Spain,Google,6499,2701.12,4320.4
Non-Brand,Paid Search,Mobile,Turkey,Bing,4,1.47,6.4
Non-Brand,Paid Search,Mobile,United States,Google,6138,13719.83,4773.0
Non-Brand,Paid Search,Tablet,Brazil,Google,231,238.42,216.2
Non-Brand,Paid Search,Tablet,Indonesia,Google,25,31.67,32.9
Non-Brand,Paid Search,Tablet,Italy,Google,39,70.28,40.7
Non-Brand,Paid Search,Tablet,Korea,Google,26,13.5,25.5
Non-Brand,Paid Search,Tablet,Philippines,Google,54,60.42,48.8
Non-Brand,Paid Search,Tablet,United Kingdom,Google,1481,4618.97,1448.4
Non-Brand,Paid Search,Tablet,Vietnam,Google,48,25.8,48.9
Brand,Paid Search,Desktop,China,Google,2599,540.6,2136.0
Brand,Paid Search,Desktop,Denmark,Google,5344,935.78,4773.1
Brand,Paid Search,Desktop,Korea,Bing,1539,3266.74,2841.2
Brand,Paid Search,Desktop,Russia,Bing,485,308.48,629.0
Brand,Paid Search,Desktop,Spain,Google,29097,3986.74,19179.0
Brand,Paid Search,Mobile,Israel,Google,22,3.24,26.7
Brand,Paid Search,Mobile,Korea,Google,809,237.45,1248.1
Brand,Paid Search,Mobile,Rest of World,Google,5461,951.22,5045.4
Brand,Paid Search,Mobile,Spain,Bing,52,0.67,251.4
Brand,Paid Search,Mobile,Thailand,Google,176,25.04,162.1
Brand,Paid Search,Tablet,Australia,Google,2673,761.08,2453.0
Brand,Paid Search,Tablet,Netherlands,Google,355,113.49,370.3
